Random ID,AgeGroup,GuessAcc,GuessRT,Prop_Repeated_Errors,ErrorfulAcc_Excl,ErrorfulRT_Excl,ErrorlessAcc_Excl,ID,AgeGroup2,Condition,Accuracy,ErrorlessRT_Excl,ErrorfulAcc_Incl,ErrorfulRT_Incl,ErrorlessAcc_Incl,ErrorlessRT_Incl,VocabTestAcc,VocabTestRT,RotationAcc,RotationRT,Age,Education,Repetition,Imagery,Action,Keyword,Story,Other,Other Description,Metacognition,Metacog,condition,accuracy
430689,Older,0.05,6170.05,0,0.894737,5996.210526,0.7,430689,Older,0,0.7,5848.7,0.9,5971.1,0.7,5848.7,0.975,3809.55,0.773333333,1567.708333,68,5,0,1,0,0,0,0,NA,Errorless,0,Errorless,0.7
430695,Younger,0.1,7923.05,0.055555556,0.555556,5974.444444,0.2,430695,Younger,0,0.2,7093.95,0.55,5656.25,0.2,7093.95,0.45,6405.4,0.52,1922.550725,23,4,1,0,0,1,0,0,NA,Errorful,1,Errorless,0.2
430698,Older,0.15,5631,0.117647059,0.764706,7041.823529,0.7,430698,Older,0,0.7,4849.25,0.8,6629.25,0.7,4849.25,0.975,2559.2,0.72,1633.239437,69,2,1,0,0,1,0,0,NA,Errorless,0,Errorless,0.7
430735,Younger,0.05,7364.55,0,0.947368,4117.157895,0.75,430735,Younger,0,0.75,4390.3,0.95,4133.95,0.75,4390.3,0.9,3694.1,0.853333333,1536.098592,21,2,1,1,0,1,0,0,NA,Errorful,1,Errorless,0.75
430767,Younger,0.15,4309.05,0.117647059,0.529412,4726.588235,0,430767,Younger,0,0,4240.65,0.6,4553.9,0,4240.65,0.55,2863.425,0.693333333,1157.070423,21,4,1,1,0,0,0,0,NA,Errorful,1,Errorless,0
431652,Younger,0.1,3582.15,0,0.833333,3905.833333,0.65,431652,Younger,0,0.65,3606.6,0.85,3788,0.65,3606.6,0.7,4390.2,0.8,1214.242857,21,2,1,0,0,0,0,0,NA,Errorful,1,Errorless,0.65
431653,Younger,0.05,6141.4,0.052631579,0.947368,2849.789474,0.8,431653,Younger,0,0.8,4443.2,0.95,2910.2,0.8,4443.2,0.675,4901.625,0.866666667,1303.959459,23,2,0,1,0,1,0,0,NA,Errorless,0,Errorless,0.8
431654,Younger,0,6081.55,0.05,0.9,7149.6,0.9,431654,Younger,0,0.9,4425.3,0.9,7149.6,0.9,4425.3,0.675,4383.2,0.733333333,1580.931507,21,2,1,0,0,0,0,0,NA,Errorless,0,Errorless,0.9
431679,Younger,0.05,11073.5,0.052631579,0.631579,11089.10526,0.7,431679,Younger,0,0.7,6958.85,0.65,10719.75,0.7,6958.85,0.7,5413.275,0.813333333,1289.878378,22,4,1,0,0,1,0,0,NA,Errorless,0,Errorless,0.7
431703,Older,0.1,4238.35,0,0.944444,6077.888889,0.9,431703,Older,0,0.9,4110.3,0.95,5813.05,0.9,4110.3,1,4197.65,0.826666667,1660.086957,66,4,0,1,0,0,0,0,NA,Errorful,1,Errorless,0.9
431704,Older,0.15,8528.1,0.529411765,0.058824,6697.411765,0.05,431704,Older,0,0.05,7694.7,0.15,6696,0.05,7694.7,0.75,3356.05,0.706666667,1633.617647,60,4,0,1,0,0,0,0,NA,Errorful,1,Errorless,0.05
431705,Older,0.05,5592.1,0.052631579,0.947368,8127.052632,0.9,431705,Older,0,0.9,5730.3,0.95,7895.25,0.9,5730.3,0.975,3793.25,0.706666667,1474.428571,66,4,1,1,0,1,1,0,NA,Errorless,0,Errorless,0.9
431714,Older,0.05,28812.65,0.2,0.736842,16808.05263,0.5,431714,Older,0,0.5,12337.5,0.75,16216.75,0.5,12337.5,0.8,8154.225,0.773333333,1501.594595,67,1,1,1,0,0,0,0,NA,Errorless,0,Errorless,0.5
432301,Younger,0.05,6694.6,0.1,0.947368,4631.105263,0.45,432301,Younger,0,0.45,6673.6,0.95,4566.95,0.45,6673.6,0.75,4946.8,0.813333333,1371.222222,22,1,0,1,0,0,0,0,NA,Errorless,0,Errorless,0.45
432302,Younger,0.2,5321.45,0.2,1,3551.9375,0.5,432302,Younger,0,0.5,4121.25,1,3358.55,0.5,4121.25,0.625,3732.4,0.773333333,1541.895522,23,5,1,1,0,1,0,0,NA,Errorful,1,Errorless,0.5
432303,Younger,0.05,3465.75,0.05,0.947368,3048.684211,1,432303,Younger,0,1,2331.85,0.95,3004.35,1,2331.85,0.625,2826.5,0.893333333,1457.621622,20,2,1,1,1,0,0,0,NA,Errorful,1,Errorless,1
432305,Younger,0.2,8691.3,0.25,0.8125,4128.1875,0.4,432305,Younger,0,0.4,4440.8,0.85,4103.15,0.4,4440.8,0.9,2814.75,0.84,1569.84058,22,2,0,0,1,1,0,0,NA,Errorless,0,Errorless,0.4
432306,Younger,0.1,4916.45,0.1,0.944444,2944.555556,0.3,432306,Younger,0,0.3,3615.75,0.95,2911.5,0.3,3615.75,0.525,2317.775,0.76,1192.60274,23,5,1,0,0,1,0,0,NA,Errorless,0,Errorless,0.3
432307,Younger,0.1,4727.45,0.35,0.611111,4427.111111,0.4,432307,Younger,0,0.4,4644.4,0.65,4173.35,0.4,4644.4,0.5,4124.55,0.746666667,1276.810811,21,2,0,0,0,1,0,0,NA,Errorful,1,Errorless,0.4
432309,Younger,0.05,5098.05,0.15,0.894737,4847.210526,0.4,432309,Younger,0,0.4,5413.9,0.9,4735.95,0.4,5413.9,0.75,3673.2,0.813333333,1280.450704,23,4,1,0,0,0,0,0,NA,Errorful,1,Errorless,0.4
432311,Younger,0,7126,0,0.95,3272.85,0.95,432311,Younger,0,0.95,3333.35,0.95,3272.85,0.95,3333.35,0.725,5320.05,0.92,1653.232877,24,4,0,1,0,0,0,0,I accidently passed on kettle but the answer was water,Errorless,0,Errorless,0.95
432316,Younger,0.15,3237.95,0.15,1,2124.882353,1,432316,Younger,0,1,2452.15,1,2039.5,1,2452.15,0.925,3132.225,0.853333333,1250.094595,24,4,1,1,0,1,1,0,NA,Errorful,1,Errorless,1
432317,Older,0.05,7547.5,0.05,0.842105,4481.368421,0.75,432317,Older,0,0.75,5734.1,0.85,4399,0.75,5734.1,0.95,3742.075,0.76,1481.054795,60,4,1,1,0,0,0,1,"Tried to think of the association of the two words. For example, the stove goes in the kitchen. The deer inhabits the forest. The kite flies in the wind.",Errorful,1,Errorless,0.75
432318,Younger,0,6388.5,0,1,2736.65,1,432318,Younger,0,1,2019.55,1,2736.65,1,2019.55,0.65,3043.6,0.706666667,1174.472973,19,2,1,1,0,1,0,0,NA,Errorless,0,Errorless,1
432320,Younger,0,5278.9,0.15,0.55,5897.1,0.3,432320,Younger,0,0.3,4414.1,0.55,5897.1,0.3,4414.1,0.625,3184.175,0.8,1251.60274,21,4,1,0,0,0,0,0,NA,Errorless,0,Errorless,0.3
432321,Younger,0.1,6454.95,0.2,0.888889,4106.388889,0.6,432321,Younger,0,0.6,6415.7,0.9,4458.65,0.6,6415.7,0.875,4030.85,0.853333333,1556.5,22,3,1,0,0,1,0,0,NA,Errorful,1,Errorless,0.6
432322,Younger,0.1,7756.5,0.1,0.944444,6142,0.85,432322,Younger,0,0.85,6781,0.95,5945.35,0.85,6781,0.575,4446.55,0.72,1510.513889,22,2,1,0,0,0,0,0,NA,Errorful,1,Errorless,0.85
432326,Younger,0,5310.1,0,0.85,6762.8,0.9,432326,Younger,0,0.9,5064.45,0.85,6762.8,0.9,5064.45,0.675,4640.125,0.826666667,1611.082192,21,2,0,0,0,0,1,0,NA,Errorless,0,Errorless,0.9
432328,Younger,0.1,3958.9,0.2,0.611111,4128.722222,0.65,432328,Younger,0,0.65,4860,0.6,4119.55,0.65,4860,0.9,3422.825,0.893333333,1299.791667,22,4,1,1,0,0,0,0,NA,Errorful,1,Errorless,0.65
432329,Younger,0.25,5128.5,0.35,0.866667,4933.066667,0.7,432329,Younger,0,0.7,3787.95,0.9,4291.5,0.7,3787.95,0.85,2886.35,0.8,1051.186667,20,2,1,0,0,0,0,0,NA,Errorful,1,Errorless,0.7
432331,Older,0,10888.55,0.05,0.65,9766.85,0.45,432331,Older,0,0.45,9209.3,0.65,9766.85,0.45,9209.3,0.775,4093.925,0.76,1569.361111,66,2,1,0,1,0,0,0,NA,Errorful,1,Errorless,0.45
432332,Younger,0.05,8036.55,0.05,0.894737,5494.789474,0.8,432332,Younger,0,0.8,9388.4,0.85,5977.5,0.8,9388.4,0.775,10631.625,0.72,1435.666667,22,4,1,1,0,1,0,0,NA,Errorful,1,Errorless,0.8
432333,Younger,0.1,8305.4,0.15,0.888889,7686.277778,0.65,432333,Younger,0,0.65,8250,0.9,7716.35,0.65,8250,0.55,6006.6,0.76,1429.014286,21,2,0,0,0,1,0,0,NA,Errorless,0,Errorless,0.65
432334,Younger,0.1,3466.45,0.15,0.444444,3921.888889,0.3,432334,Younger,0,0.3,3796.15,0.45,3804,0.3,3796.15,0.525,3684.7,0.8,1442.472973,24,3,0,0,0,1,0,0,NA,Errorless,0,Errorless,0.3
432335,Older,0.05,5976.25,0.05,0.894737,6019.157895,0.75,432335,Older,0,0.75,4605.3,0.9,5864.3,0.75,4605.3,0.925,5262.05,0.733333333,1708.333333,63,5,1,1,1,0,0,0,NA,Errorful,1,Errorless,0.75
432340,Older,0.15,5501.75,0.2,0.764706,5399.529412,0.6,432340,Older,0,0.6,6073.25,0.75,5375.95,0.6,6073.25,0.775,4465.325,0.84,1467.676056,60,2,1,0,0,0,0,0,NA,Errorless,0,Errorless,0.6
432341,Older,0.05,7761.1,0.3,0.315789,5169.631579,0.45,432341,Older,0,0.45,3978.95,0.35,5247.2,0.45,3978.95,0.825,3062.5,0.933333333,1559.472973,64,5,1,1,0,0,0,0,NA,Errorful,1,Errorless,0.45
432342,Younger,0.05,21463.6,0.1,0.789474,3606.842105,0.35,432342,Younger,0,0.35,3000.05,0.8,3520.1,0.35,3000.05,0.85,3801.975,0.706666667,1342.464789,23,4,1,0,1,0,0,0,NA,Errorless,0,Errorless,0.35
432344,Older,0.1,11370.65,0.45,0.444444,10512.66667,0.55,432344,Older,0,0.55,12338.45,0.5,10070.7,0.55,12338.45,0.825,3843.95,0.76,1523.101449,63,2,0,0,0,1,0,0,NA,Errorful,1,Errorless,0.55
432348,Older,0.15,5516.25,0.25,0.823529,3583.764706,0.85,432348,Older,0,0.85,2953,0.85,3440.65,0.85,2953,1,2392.575,0.853333333,1429.567568,61,4,1,1,1,0,0,0,NA,Errorless,0,Errorless,0.85
432349,Older,0.1,6933.15,0.1,0.722222,5741.333333,0.65,432349,Older,0,0.65,7418.5,0.75,5468.4,0.65,7418.5,0.85,3814.65,0.693333333,1640.936508,66,1,1,0,0,0,0,0,NA,Errorful,1,Errorless,0.65
432351,Older,0,9380.9,0.15,0.5,12022.05,0.45,432351,Older,0,0.45,8151.2,0.5,12022.05,0.45,8151.2,0.925,5002.725,0.72,1727.373134,63,4,0,0,0,1,0,0,NA,Errorless,0,Errorless,0.45
432352,Older,0,11411.55,0,0.8,9430.95,0.65,432352,Older,0,0.65,13297.75,0.8,9430.95,0.65,13297.75,0.9,6295.45,0.733333333,1590.287671,69,2,1,0,0,0,0,0,NA,Errorless,0,Errorless,0.65
432353,Older,0,6467.75,0.15,0.45,8763.25,0.15,432353,Older,0,0.15,7320.1,0.45,8763.25,0.15,7320.1,0.75,3921.175,0.773333333,1661.445946,61,4,0,1,0,0,0,0,NA,Errorful,1,Errorless,0.15
432356,Older,0.1,6725.7,0.2,0.777778,6317.611111,0.8,432356,Older,0,0.8,5130.2,0.8,6304.4,0.8,5130.2,0.9,3207.6,0.786666667,1677.178082,69,4,1,1,0,0,0,0,NA,Errorless,0,Errorless,0.8
432357,Older,0.05,10767.2,0.05,0.842105,12099.78947,0.7,432357,Older,0,0.7,9287.25,0.85,11822.7,0.7,9287.25,0.95,4530.125,0.733333333,1721.855072,67,3,0,1,0,1,0,0,NA,Errorless,0,Errorless,0.7
432358,Older,0.05,7529.7,0.1,0.894737,6085.157895,0.8,432358,Older,0,0.8,5716.05,0.9,5971.2,0.8,5716.05,0.9,4892.025,0.693333333,1645.176471,68,2,0,0,0,1,0,0,NA,Errorless,0,Errorless,0.8
432360,Younger,0,3534,0.05,0.95,4238.35,0.75,432360,Younger,0,0.75,5529.7,0.95,4238.35,0.75,5529.7,0.725,4588.675,0.893333333,1622.946667,22,2,1,1,1,1,0,0,NA,Errorless,0,Errorless,0.75
432362,Older,0.05,6649.15,0.1,0.894737,3979.736842,0.4,432362,Older,0,0.4,4133.9,0.9,3906.2,0.4,4133.9,0.8,3024.875,0.64,1478.794521,65,4,1,1,0,0,0,0,NA,Errorless,0,Errorless,0.4
432364,Older,0.05,7069.2,0.2,0.368421,7212.421053,0.9,432364,Older,0,0.9,7998.05,0.4,7113.95,0.9,7998.05,0.7,4490.55,0.706666667,1628.385714,60,2,1,1,0,0,0,0,NA,Errorless,0,Errorless,0.9
432365,Older,0.15,6853.4,0.35,0.588235,3787.117647,0.35,432365,Older,0,0.35,3287.6,0.65,3993.95,0.35,3287.6,0.95,2754.825,0.693333333,1433.357143,61,4,1,0,0,0,0,0,NA,Errorless,0,Errorless,0.35
432367,Older,0.05,5101.2,0.05,0.894737,7252.578947,0.9,432367,Older,0,0.9,4539.5,0.9,6995.25,0.9,4539.5,0.925,4713.15,0.733333333,1333.849315,65,5,1,1,0,1,0,0,NA,Errorless,0,Errorless,0.9
432368,Older,0,9144.2,0.05,0.85,6148.1,0.45,432368,Older,0,0.45,5649.1,0.85,6148.1,0.45,5649.1,0.875,3665.425,0.733333333,1652,71,5,0,0,0,1,0,0,NA,Errorless,0,Errorless,0.45
432372,Older,0.05,12036.55,0.05,0.789474,13531.1579,0.75,432372,Older,0,0.75,10295.75,0.75,14334.2,0.75,10295.75,0.925,5508.9,0.68,1773.761905,75,2,0,1,0,0,0,0,NA,Errorless,0,Errorless,0.75
432373,Older,0.05,8088,0.05,1,3356.631579,1,432373,Older,0,1,3634.4,1,3350,1,3634.4,0.85,5997.35,0.866666667,1672.652778,66,4,1,1,1,0,0,0,NA,Errorful,1,Errorless,1
432374,Older,0.1,10135.8,0.1,0.722222,12032.61111,0.3,432374,Older,0,0.3,11217.25,0.75,11115.8,0.3,11217.25,0.9,4333.475,0.746666667,2002.985075,63,5,1,0,0,0,0,0,NA,Errorless,0,Errorless,0.3
432378,Older,0,6316.25,0.1,0.85,7099.65,0.9,432378,Older,0,0.9,6848.05,0.85,7099.65,0.9,6848.05,0.975,4724.2,0.72,1576.695652,63,4,1,1,0,0,0,0,NA,Errorful,1,Errorless,0.9
432395,Younger,0.05,9743.5,0.2,0.736842,7964.473684,0.4,432395,Younger,0,0.4,10704.5,0.75,8042.6,0.4,10704.5,0.625,7065.1,0.72,1029.44,20,2,1,1,1,0,0,0,NA,Errorful,1,Errorless,0.4
432399,Younger,0,3700.3,0,0.85,3744.75,0.65,432399,Younger,0,0.65,3230.9,0.85,3744.75,0.65,3230.9,0.775,2700.575,0.626666667,1762.231884,20,2,1,1,0,0,0,0,NA,Errorful,1,Errorless,0.65
NA,NA,NA,NA,NA,NA,NA,NA,430689,Older,1,0.894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.894737
NA,NA,NA,NA,NA,NA,NA,NA,430695,Younger,1,0.555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.555556
NA,NA,NA,NA,NA,NA,NA,NA,430698,Older,1,0.764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.764706
NA,NA,NA,NA,NA,NA,NA,NA,430735,Younger,1,0.947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.947368
NA,NA,NA,NA,NA,NA,NA,NA,430767,Younger,1,0.529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.529412
NA,NA,NA,NA,NA,NA,NA,NA,431652,Younger,1,0.833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.833333
NA,NA,NA,NA,NA,NA,NA,NA,431653,Younger,1,0.947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.947368
NA,NA,NA,NA,NA,NA,NA,NA,431654,Younger,1,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.9
NA,NA,NA,NA,NA,NA,NA,NA,431679,Younger,1,0.631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.631579
NA,NA,NA,NA,NA,NA,NA,NA,431703,Older,1,0.944444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.944444
NA,NA,NA,NA,NA,NA,NA,NA,431704,Older,1,0.058824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.058824
NA,NA,NA,NA,NA,NA,NA,NA,431705,Older,1,0.947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.947368
NA,NA,NA,NA,NA,NA,NA,NA,431714,Older,1,0.736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.736842
NA,NA,NA,NA,NA,NA,NA,NA,432301,Younger,1,0.947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.947368
NA,NA,NA,NA,NA,NA,NA,NA,432302,Younger,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,1
NA,NA,NA,NA,NA,NA,NA,NA,432303,Younger,1,0.947368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.947368
NA,NA,NA,NA,NA,NA,NA,NA,432305,Younger,1,0.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.8125
NA,NA,NA,NA,NA,NA,NA,NA,432306,Younger,1,0.944444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.944444
NA,NA,NA,NA,NA,NA,NA,NA,432307,Younger,1,0.611111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.611111
NA,NA,NA,NA,NA,NA,NA,NA,432309,Younger,1,0.894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.894737
NA,NA,NA,NA,NA,NA,NA,NA,432311,Younger,1,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.95
NA,NA,NA,NA,NA,NA,NA,NA,432316,Younger,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,1
NA,NA,NA,NA,NA,NA,NA,NA,432317,Older,1,0.842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.842105
NA,NA,NA,NA,NA,NA,NA,NA,432318,Younger,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,1
NA,NA,NA,NA,NA,NA,NA,NA,432320,Younger,1,0.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.55
NA,NA,NA,NA,NA,NA,NA,NA,432321,Younger,1,0.888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.888889
NA,NA,NA,NA,NA,NA,NA,NA,432322,Younger,1,0.944444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.944444
NA,NA,NA,NA,NA,NA,NA,NA,432326,Younger,1,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.85
NA,NA,NA,NA,NA,NA,NA,NA,432328,Younger,1,0.611111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.611111
NA,NA,NA,NA,NA,NA,NA,NA,432329,Younger,1,0.866667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.866667
NA,NA,NA,NA,NA,NA,NA,NA,432331,Older,1,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.65
NA,NA,NA,NA,NA,NA,NA,NA,432332,Younger,1,0.894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.894737
NA,NA,NA,NA,NA,NA,NA,NA,432333,Younger,1,0.888889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.888889
NA,NA,NA,NA,NA,NA,NA,NA,432334,Younger,1,0.444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.444444
NA,NA,NA,NA,NA,NA,NA,NA,432335,Older,1,0.894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.894737
NA,NA,NA,NA,NA,NA,NA,NA,432340,Older,1,0.764706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.764706
NA,NA,NA,NA,NA,NA,NA,NA,432341,Older,1,0.315789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.315789
NA,NA,NA,NA,NA,NA,NA,NA,432342,Younger,1,0.789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.789474
NA,NA,NA,NA,NA,NA,NA,NA,432344,Older,1,0.444444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.444444
NA,NA,NA,NA,NA,NA,NA,NA,432348,Older,1,0.823529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.823529
NA,NA,NA,NA,NA,NA,NA,NA,432349,Older,1,0.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.722222
NA,NA,NA,NA,NA,NA,NA,NA,432351,Older,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.5
NA,NA,NA,NA,NA,NA,NA,NA,432352,Older,1,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.8
NA,NA,NA,NA,NA,NA,NA,NA,432353,Older,1,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.45
NA,NA,NA,NA,NA,NA,NA,NA,432356,Older,1,0.777778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.777778
NA,NA,NA,NA,NA,NA,NA,NA,432357,Older,1,0.842105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.842105
NA,NA,NA,NA,NA,NA,NA,NA,432358,Older,1,0.894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.894737
NA,NA,NA,NA,NA,NA,NA,NA,432360,Younger,1,0.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.95
NA,NA,NA,NA,NA,NA,NA,NA,432362,Older,1,0.894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.894737
NA,NA,NA,NA,NA,NA,NA,NA,432364,Older,1,0.368421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.368421
NA,NA,NA,NA,NA,NA,NA,NA,432365,Older,1,0.588235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.588235
NA,NA,NA,NA,NA,NA,NA,NA,432367,Older,1,0.894737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.894737
NA,NA,NA,NA,NA,NA,NA,NA,432368,Older,1,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.85
NA,NA,NA,NA,NA,NA,NA,NA,432372,Older,1,0.789474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.789474
NA,NA,NA,NA,NA,NA,NA,NA,432373,Older,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,1
NA,NA,NA,NA,NA,NA,NA,NA,432374,Older,1,0.722222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.722222
NA,NA,NA,NA,NA,NA,NA,NA,432378,Older,1,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.85
NA,NA,NA,NA,NA,NA,NA,NA,432395,Younger,1,0.736842,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.736842
NA,NA,NA,NA,NA,NA,NA,NA,432399,Younger,1,0.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Errorful,0.85
